1 2 683.0
1 4 268.0
1 5 7775.0
1 6 4144.0
1 7 13079.0
1 8 3697.0
1 9 942.0
1 10 610.0
1 11 330.0
1 12 2231.0
1 13 271.0
1 14 189.0
1 15 66.0
1 16 1199.0
1 17 484.0
1 18 262.0
1 19 392.0
1 20 93.0
1 23 1.0
1 24 1.0
1 25 5.0
1 26 3.0
1 27 1.0
1 29 199.0
1 30 321.0
1 31 10.0
1 32 655.0
1 33 20.0
1 34 14137.0
1 35 270.0
1 36 2821.0
1 37 20946.0
1 38 3025.0
1 39 5363.0
1 40 77.0
1 41 293.0
1 42 280.0
1 43 4.0
1 44 5.0
1 45 38.0
1 46 52.0
1 47 9.0
1 48 547.0
1 49 238.0
1 50 16.0
1 51 2.0
1 52 1.0
1 53 1500.0
1 54 33.0
1 55 503.0
1 56 25.0
1 57 1.0
1 58 82.0
1 59 4.0
1 60 2.0
1 61 5.0
1 66 1.0
1 67 3.0
1 68 14.0
1 72 1.0
1 73 13.0
1 74 92.0
1 75 231.0
1 76 1830.0
1 77 3199.0
1 78 1033.0
1 79 593.0
1 80 3239.0
1 81 128.0
1 82 167.0
1 83 276.0
2 4 12.0
2 5 777.0
2 6 548.0
2 7 317.0
2 8 99.0
2 9 25.0
2 10 10.0
2 11 3.0
2 12 65.0
2 13 8.0
2 14 3.0
2 16 7.0
2 17 6.0
2 18 3.0
2 19 6.0
2 20 1.0
2 29 7.0
2 30 7.0
2 32 14.0
2 34 564.0
2 35 6.0
2 36 95.0
2 37 461.0
2 38 36.0
2 39 209.0
2 41 3.0
2 42 39.0
2 46 1.0
2 48 11.0
2 53 52.0
2 55 28.0
2 58 2.0
2 74 2.0
2 75 10.0
2 76 40.0
2 77 75.0
2 78 70.0
2 79 28.0
2 80 98.0
2 81 5.0
2 82 6.0
2 83 31.0
4 5 82.0
4 6 57.0
4 7 59.0
4 8 18.0
4 9 10.0
4 10 12.0
4 11 1.0
4 12 181.0
4 13 80.0
4 14 218.0
4 15 69.0
4 16 22.0
4 17 32.0
4 18 30.0
4 19 33.0
4 20 70.0
4 24 1.0
4 25 1.0
4 26 4.0
4 29 10.0
4 30 12.0
4 32 17.0
4 34 211.0
4 35 24.0
4 36 315.0
4 37 338.0
4 38 127.0
4 39 1034.0
4 40 13.0
4 41 10.0
4 42 54.0
4 43 18.0
4 44 22.0
4 45 858.0
4 46 54.0
4 47 7.0
4 48 96.0
4 49 82.0
4 50 14.0
4 51 13.0
4 53 1058.0
4 54 258.0
4 55 180.0
4 56 32.0
4 57 7.0
4 58 104.0
4 59 5.0
4 60 4.0
4 61 5.0
4 64 1.0
4 67 2.0
4 73 15.0
4 74 112.0
4 75 156.0
4 76 197.0
4 77 646.0
4 78 633.0
4 79 190.0
4 80 249.0
4 81 11.0
4 82 61.0
4 83 110.0
5 6 11269.0
5 7 10669.0
5 8 4282.0
5 9 669.0
5 10 932.0
5 11 972.0
5 12 1963.0
5 13 1280.0
5 14 1645.0
5 15 478.0
5 16 1038.0
5 17 369.0
5 18 356.0
5 19 353.0
5 20 971.0
5 21 1.0
5 23 2.0
5 24 2.0
5 25 4.0
5 26 7.0
